name;project_name
B110;IUT-BLAGNAC
B111;IUT-BLAGNAC
B201;IUT-BLAGNAC
B202;IUT-BLAGNAC
B203;IUT-BLAGNAC
B001;IUT-BLAGNAC
B002;IUT-BLAGNAC
B003;IUT-BLAGNAC
B101;IUT-BLAGNAC
B102;IUT-BLAGNAC
B103;IUT-BLAGNAC
B105;IUT-BLAGNAC
B106;IUT-BLAGNAC
B108;IUT-BLAGNAC
B109;IUT-BLAGNAC
B112;IUT-BLAGNAC
B113;IUT-BLAGNAC
B212;IUT-BLAGNAC
B217;IUT-BLAGNAC
B219;IUT-BLAGNAC
B234;IUT-BLAGNAC
C004;IUT-BLAGNAC
C006;IUT-BLAGNAC
D001;IUT-BLAGNAC
E003;IUT-BLAGNAC
E004;IUT-BLAGNAC
E001;IUT-BLAGNAC
E006;IUT-BLAGNAC
E007;IUT-BLAGNAC
E101;IUT-BLAGNAC
E102;IUT-BLAGNAC
E103;IUT-BLAGNAC
E104;IUT-BLAGNAC
E105;IUT-BLAGNAC
E106;IUT-BLAGNAC
E100;IUT-BLAGNAC
E208;IUT-BLAGNAC
E209;IUT-BLAGNAC
E206;IUT-BLAGNAC
E207;IUT-BLAGNAC
E210;IUT-BLAGNAC
Salle-conseil;IUT-BLAGNAC
A007;IUT-BLAGNAC
Local-velo;IUT-BLAGNAC
Foyer-personnels;IUT-BLAGNAC
Foyer-etudiants-1;IUT-BLAGNAC
Foyer-etudiants-2;IUT-BLAGNAC
hall-1;IUT-BLAGNAC
hall-2;IUT-BLAGNAC
amphi1;IUT-BLAGNAC
